signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
70789,70790,70794,-1,4716.985,4725.045,-8.0600000000004
70795,70796,70800,1,4727.755,4724.885,-2.869999999999891
70871,70872,70876,-1,4706.415,4701.525,4.890000000000327
70879,70880,70884,-1,4702.325,4709.755,-7.430000000000291
71084,71085,71089,-1,4716.975,4721.055,-4.079999999999927
71159,71160,71164,-1,4706.315,4705.355,0.9600000000000364
71174,71175,71179,1,4709.445,4708.365,-1.0799999999999272
71182,71183,71187,1,4721.825,4723.905,2.0799999999999272
71190,71191,71195,-1,4723.535,4724.405,-0.8699999999998909
71239,71240,71244,1,4734.765,4741.625,6.859999999999673
71689,71690,71694,1,4697.765,4683.705,-14.0600000000004
71753,71754,71758,1,4696.045,4693.578,-2.4669999999996435
71861,71862,71866,-1,4676.065,4678.845,-2.780000000000655
71879,71880,71884,-1,4684.815,4691.015,-6.200000000000728
71886,71887,71891,1,4696.845,4702.325,5.479999999999563
72140,72141,72145,1,4673.855,4674.565,0.7100000000000364
72151,72152,72156,-1,4669.595,4659.525,10.070000000000618
72159,72160,72164,-1,4657.915,4648.445,9.470000000000255
72166,72167,72171,1,4654.265,4655.175,0.9099999999998545
72297,72298,72302,-1,4666.425,4671.055,-4.630000000000109
72318,72319,72323,-1,4670.965,4671.705,-0.7399999999997817
72529,72530,72534,-1,4672.635,4669.175,3.4600000000000364
72549,72550,72554,1,4675.185,4687.165,11.979999999999563
72560,72561,72565,1,4695.295,4697.565,2.269999999999527
72589,72590,72594,1,4704.305,4712.205,7.899999999999636
72619,72620,72624,1,4732.985,4734.745,1.7600000000002183
72811,72812,72816,-1,4711.635,4715.655,-4.019999999999527
73004,73005,73009,1,4735.295,4736.045,0.75
73115,73116,73120,1,4754.915,4753.415,-1.5
73140,73141,73145,-1,4746.455,4752.595,-6.140000000000327
73181,73182,73186,1,4768.615,4766.355,-2.2600000000002183
73189,73190,73194,-1,4762.015,4761.925,0.09000000000014552
73212,73213,73217,-1,4756.205,4762.435,-6.230000000000473
73253,73254,73258,-1,4743.745,4752.065,-8.319999999999709
73476,73477,73481,-1,4720.215,4715.885,4.329999999999927
73483,73484,73488,-1,4713.125,4713.985,-0.8599999999996726
73497,73498,73502,-1,4710.848,4711.385,-0.5370000000002619
73519,73520,73524,1,4719.798,4716.705,-3.092999999999847
73525,73526,73530,-1,4713.565,4715.975,-2.410000000000764
73604,73605,73609,-1,4695.505,4695.235,0.27000000000043656
73714,73715,73719,1,4705.835,4702.995,-2.8400000000001455
73759,73760,73764,1,4702.985,4700.285,-2.699999999999818
73821,73822,73826,-1,4692.675,4692.595,0.07999999999992724
73828,73829,73833,-1,4686.115,4690.565,-4.449999999999818
73854,73855,73859,-1,4688.435,4693.685,-5.25
73915,73916,73920,-1,4700.825,4702.505,-1.680000000000291
73942,73943,73947,1,4695.915,4700.085,4.170000000000073
73973,73974,73978,-1,4695.975,4695.255,0.7200000000002547
74006,74007,74011,1,4693.875,4700.035,6.1599999999998545
74719,74720,74724,-1,4696.395,4697.895,-1.5
74902,74903,74907,1,4701.445,4700.495,-0.9499999999998181
74914,74915,74919,1,4699.655,4698.185,-1.4699999999993452
74985,74986,74990,-1,4699.275,4700.715,-1.4400000000005093
75135,75136,75140,1,4690.095,4687.285,-2.8100000000004
75141,75142,75146,1,4690.925,4690.725,-0.1999999999998181
75179,75180,75184,-1,4704.595,4703.015,1.5799999999999272
75315,75316,75320,-1,4685.665,4680.195,5.470000000000255
75323,75324,75328,1,4682.295,4678.905,-3.3900000000003274
75340,75341,75345,-1,4680.095,4681.385,-1.2899999999999636
75560,75561,75565,-1,4704.125,4703.265,0.8599999999996726
75623,75624,75628,-1,4690.295,4690.835,-0.5399999999999636
