signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
72681,72682,72686,1,4720.525,4726.865,6.3400000000001455
72812,72813,72817,1,4714.205,4714.425,0.22000000000025466
72999,73000,73004,-1,4731.175,4735.275,-4.099999999999454
73006,73007,73011,-1,4733.895,4737.065,-3.1699999999991633
73182,73183,73187,1,4767.945,4767.555,-0.3899999999994179
73188,73189,73193,-1,4767.215,4764.645,2.569999999999709
73199,73200,73204,-1,4767.465,4767.625,-0.15999999999985448
73251,73252,73256,1,4754.045,4751.665,-2.380000000000109
73479,73480,73484,1,4720.005,4713.955,-6.050000000000182
73498,73499,73503,1,4710.695,4712.225,1.5300000000006548
73610,73611,73615,-1,4695.945,4691.905,4.039999999999964
73851,73852,73856,1,4690.475,4689.855,-0.6200000000008004
73859,73860,73864,-1,4693.775,4694.735,-0.9600000000000364
73934,73935,73939,1,4696.535,4693.385,-3.149999999999636
73944,73945,73949,1,4694.005,4702.835,8.829999999999927
73974,73975,73979,1,4696.295,4692.855,-3.4400000000005093
74007,74008,74012,-1,4694.465,4699.828,-5.363000000000284
74508,74509,74513,-1,4716.478,4719.798,-3.319999999999709
74659,74660,74664,1,4703.615,4702.635,-0.9799999999995634
74689,74690,74694,-1,4702.845,4706.525,-3.6799999999993815
74720,74721,74725,-1,4696.925,4695.855,1.0700000000006185
74737,74738,74742,1,4695.205,4692.215,-2.9899999999997817
74868,74869,74873,-1,4699.335,4706.275,-6.9399999999996
74899,74900,74904,1,4697.125,4700.435,3.3100000000004
75064,75065,75069,-1,4699.855,4700.625,-0.7700000000004366
75104,75105,75109,1,4701.845,4700.145,-1.699999999999818
75290,75291,75295,1,4696.445,4699.455,3.0100000000002183
75309,75310,75314,-1,4690.505,4688.065,2.4400000000005093
75319,75320,75324,1,4679.878,4684.675,4.79700000000048
75328,75329,75333,1,4678.855,4682.775,3.9200000000000728
75342,75343,75347,-1,4681.545,4684.505,-2.9600000000000364
75379,75380,75384,1,4688.485,4679.625,-8.859999999999673
75385,75386,75390,1,4678.495,4678.235,-0.2600000000002183
75553,75554,75558,-1,4705.715,4706.655,-0.9399999999995998
75762,75763,75767,1,4685.265,4688.495,3.2299999999995634
75934,75935,75939,-1,4694.145,4694.765,-0.6199999999998909
75956,75957,75961,1,4693.415,4697.135,3.7200000000002547
75974,75975,75979,1,4700.765,4702.105,1.339999999999236
76008,76009,76013,-1,4704.765,4698.495,6.270000000000437
76016,76017,76021,1,4688.355,4691.335,2.980000000000473
76039,76040,76044,1,4693.235,4694.045,0.8100000000004002
76051,76052,76056,1,4685.425,4693.225,7.800000000000182
76216,76217,76221,-1,4703.875,4707.948,-4.07300000000032
76311,76312,76316,1,4688.775,4691.545,2.7700000000004366
76443,76444,76448,1,4698.715,4699.485,0.7699999999995271
76669,76670,76674,1,4693.975,4695.098,1.1229999999995925
76690,76691,76695,1,4706.705,4703.848,-2.856999999999971
76705,76706,76710,1,4708.658,4706.628,-2.030000000000655
76714,76715,76719,1,4697.568,4703.358,5.789999999999964
76733,76734,76738,1,4697.195,4701.075,3.880000000000109
76748,76749,76753,-1,4693.045,4694.525,-1.4799999999995634
76760,76761,76765,1,4686.985,4681.448,-5.536999999999352
76770,76771,76775,1,4673.245,4683.825,10.579999999999927
76783,76784,76788,1,4684.725,4679.285,-5.440000000000509
76793,76794,76798,1,4685.505,4685.325,-0.18000000000029104
77001,77002,77006,-1,4676.535,4678.478,-1.943000000000211
