tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,1,2026-07-27 11:31:00+00:00,1.6774999999999767,True,2026-07-27 11:31:00+00:00,1,1.0,4099.905,4099.155,-0.75
M5,ABSORPTION,-1,2026-07-28 15:25:00+00:00,5.820000000000034,True,2026-07-28 15:25:00+00:00,1,1.0,4035.615,4037.445,-1.830000000000382
M5,ABSORPTION,-1,2026-08-10 14:35:00+00:00,6.942857142857195,True,2026-08-10 14:35:00+00:00,1,1.0,4347.345,4346.405,0.9400000000005093
M1,IMBALANCE,-1,2026-08-12 12:31:00+00:00,6.808392857142735,True,2026-08-12 12:31:00+00:00,1,1.0,4393.875,4392.935,0.9399999999995998
M5,ABSORPTION,1,2026-08-12 12:35:00+00:00,8.105714285714514,True,2026-08-12 12:35:00+00:00,1,1.0,4425.615,4423.135,-2.4799999999995634
M5,ABSORPTION,1,2026-08-18 01:55:00+00:00,5.549999999999662,True,2026-08-18 01:55:00+00:00,1,1.0,4408.615,4407.575,-1.0399999999999636
M5,ABSORPTION,-1,2026-08-18 12:25:00+00:00,3.966785714285639,True,2026-08-18 12:25:00+00:00,1,1.0,4395.615,4394.425,1.1899999999995998
