scope,tf,edge,N,N_per_day,WR,PF,RF,net_profit,return_pct,max_dd_pct,max_dd_usd,final_balance
EDGE,M1,IMBALANCE,258,12.285714285714286,48.06201550387597,1.0693287151535846,0.6977807101727542,29.08350000000155,2.908350000000155,4.130515571191597,41.680000000001655,1029.0835000000015
EDGE,M5,ABSORPTION,50,2.380952380952381,48.0,1.3747029157729813,0.957133338269025,64.6399999999976,6.463999999999761,6.641817833135725,67.53499999999894,1064.6399999999976
PORTFOLIO,M1+M5,IMBALANCE+ABSORPTION,308,14.666666666666666,48.05194805194805,1.158313647623397,1.0698419040009033,93.72349999999915,9.372349999999916,8.68597434016143,87.60500000000002,1093.7234999999991
