tf,signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl,entry_time,edge
M1,315,316,320,-1,4092.215,4091.245,0.9700000000002548,2026-07-27 05:16:00+00:00,IMBALANCE
M1,333,334,338,-1,4087.52,4088.77,-1.25,2026-07-27 05:34:00+00:00,IMBALANCE
M1,345,346,350,-1,4084.79,4086.685,-1.8949999999999816,2026-07-27 05:46:00+00:00,IMBALANCE
M1,480,481,485,1,4092.005,4089.165,-2.840000000000145,2026-07-27 08:01:00+00:00,IMBALANCE
M1,610,611,615,-1,4091.24,4089.565,1.6749999999997272,2026-07-27 10:11:00+00:00,IMBALANCE
M1,690,691,695,1,4099.625,4098.299999999999,-1.3250000000007276,2026-07-27 11:31:00+00:00,IMBALANCE
M1,730,731,735,-1,4091.395,4087.215,4.179999999999836,2026-07-27 12:11:00+00:00,IMBALANCE
M5,148,149,153,1,4083.225,4082.83,-0.3950000000004365,2026-07-27 12:25:00+00:00,ABSORPTION
M5,154,155,159,-1,4083.025,4083.815,-0.7900000000004184,2026-07-27 12:55:00+00:00,ABSORPTION
M1,782,783,787,1,4088.36,4084.3,-4.059999999999491,2026-07-27 13:03:00+00:00,IMBALANCE
M1,808,809,813,-1,4076.845,4078.485,-1.639999999999873,2026-07-27 13:29:00+00:00,IMBALANCE
M1,818,819,823,1,4085.705,4085.41,-0.2950000000000727,2026-07-27 13:39:00+00:00,IMBALANCE
M5,164,165,169,-1,4086.935,4077.32,9.614999999999782,2026-07-27 13:45:00+00:00,ABSORPTION
M1,835,836,840,-1,4079.795,4073.165,6.630000000000109,2026-07-27 13:56:00+00:00,IMBALANCE
M5,170,171,175,1,4077.085,4068.185,-8.899999999999636,2026-07-27 14:15:00+00:00,ABSORPTION
M1,985,986,990,1,4088.345,4089.335,0.9899999999997816,2026-07-27 16:26:00+00:00,IMBALANCE
M1,1121,1122,1126,1,4078.01,4075.665,-2.3450000000002547,2026-07-27 18:42:00+00:00,IMBALANCE
M1,1190,1191,1195,-1,4087.755,4086.51,1.2449999999998909,2026-07-27 19:51:00+00:00,IMBALANCE
M1,1371,1372,1376,1,4072.76,4072.46,-0.3000000000001819,2026-07-27 23:52:00+00:00,IMBALANCE
M1,1384,1385,1389,-1,4066.26,4066.725,-0.4649999999996907,2026-07-28 00:05:00+00:00,IMBALANCE
M1,1395,1396,1400,-1,4065.37,4065.875,-0.5050000000001091,2026-07-28 00:16:00+00:00,IMBALANCE
M1,1712,1713,1717,-1,4038.995,4037.75,1.2449999999998909,2026-07-28 05:33:00+00:00,IMBALANCE
M1,1862,1863,1867,1,4052.425,4052.235,-0.1900000000005093,2026-07-28 08:03:00+00:00,IMBALANCE
M1,1871,1872,1876,-1,4044.26,4047.905,-3.644999999999527,2026-07-28 08:12:00+00:00,IMBALANCE
M1,1977,1978,1982,-1,4020.955,4024.815,-3.8600000000001273,2026-07-28 09:58:00+00:00,IMBALANCE
M1,2055,2056,2060,1,4029.32,4029.91,0.5899999999996908,2026-07-28 11:16:00+00:00,IMBALANCE
M1,2160,2161,2165,1,4032.005,4031.72,-0.2849999999998545,2026-07-28 13:01:00+00:00,IMBALANCE
M1,2196,2197,2201,-1,4026.565,4023.115,3.450000000000273,2026-07-28 13:37:00+00:00,IMBALANCE
M1,2208,2209,2213,1,4025.385,4027.035,1.6499999999996362,2026-07-28 13:49:00+00:00,IMBALANCE
M5,441,442,446,1,4025.305,4025.87,0.5649999999995998,2026-07-28 13:50:00+00:00,ABSORPTION
M1,2215,2216,2220,-1,4024.45,4026.025,-1.5750000000002728,2026-07-28 13:56:00+00:00,IMBALANCE
M1,2241,2242,2246,-1,4013.555,4018.06,-4.504999999999654,2026-07-28 14:22:00+00:00,IMBALANCE
M5,448,449,453,1,4017.55,4028.29,10.739999999999782,2026-07-28 14:25:00+00:00,ABSORPTION
M5,459,460,464,1,4035.415,4041.395,5.980000000000018,2026-07-28 15:20:00+00:00,ABSORPTION
M1,2300,2301,2305,1,4039.54,4037.19,-2.349999999999909,2026-07-28 15:21:00+00:00,IMBALANCE
M1,2421,2422,2426,-1,4038.615,4038.28,0.3350000000000364,2026-07-28 17:22:00+00:00,IMBALANCE
M1,2703,2704,2708,-1,4017.24,4019.21,-1.9700000000002549,2026-07-28 23:04:00+00:00,IMBALANCE
M1,2744,2745,2749,1,4023.46,4022.55,-0.9099999999998544,2026-07-28 23:45:00+00:00,IMBALANCE
M1,2760,2761,2765,-1,4018.15,4021.2,-3.050000000000182,2026-07-29 00:01:00+00:00,IMBALANCE
M1,2768,2769,2773,-1,4019.74,4021.72,-1.980000000000473,2026-07-29 00:09:00+00:00,IMBALANCE
M1,2820,2821,2825,-1,4018.95,4012.695,6.255000000000109,2026-07-29 01:01:00+00:00,IMBALANCE
M1,3090,3091,3095,1,4033.48,4032.145,-1.3349999999995816,2026-07-29 05:31:00+00:00,IMBALANCE
M1,3101,3102,3106,1,4033.59,4035.91,2.319999999999709,2026-07-29 05:42:00+00:00,IMBALANCE
M1,3116,3117,3121,-1,4032.12,4035.37,-3.25,2026-07-29 05:57:00+00:00,IMBALANCE
M1,3249,3250,3254,-1,4041.18,4039.195,1.985000000000582,2026-07-29 08:10:00+00:00,IMBALANCE
M1,3264,3265,3269,-1,4037.755,4037.39,0.3649999999997817,2026-07-29 08:25:00+00:00,IMBALANCE
M1,3330,3331,3335,-1,4031.96,4033.75,-1.7899999999999636,2026-07-29 09:31:00+00:00,IMBALANCE
M1,3467,3468,3472,1,4033.345,4033.57,0.2249999999994543,2026-07-29 11:48:00+00:00,IMBALANCE
M1,3496,3497,3501,-1,4022.39,4017.48,4.909999999999855,2026-07-29 12:17:00+00:00,IMBALANCE
M1,3540,3541,3545,1,4025.06,4017.845,-7.214999999999691,2026-07-29 13:01:00+00:00,IMBALANCE
M5,714,715,719,1,4017.29,4007.285,-10.00500000000011,2026-07-29 13:35:00+00:00,ABSORPTION
M1,3600,3601,3605,-1,4003.265,4004.865,-1.599999999999909,2026-07-29 14:01:00+00:00,IMBALANCE
M5,720,721,725,1,4006.345,4005.565,-0.7799999999997453,2026-07-29 14:05:00+00:00,ABSORPTION
M1,3775,3776,3780,1,4029.26,4030.36,1.099999999999909,2026-07-29 16:56:00+00:00,IMBALANCE
M1,3784,3785,3789,1,4037.05,4038.7,1.6499999999996362,2026-07-29 17:05:00+00:00,IMBALANCE
M1,3794,3795,3799,-1,4042.125,4045.21,-3.0850000000000364,2026-07-29 17:15:00+00:00,IMBALANCE
M1,3808,3809,3813,-1,4039.295,4040.525,-1.2299999999995634,2026-07-29 17:29:00+00:00,IMBALANCE
M1,3840,3841,3845,1,4076.89,4076.01,-0.8800000000001091,2026-07-29 18:01:00+00:00,IMBALANCE
M1,3871,3872,3876,-1,4059.43,4060.055,-0.6250000000004547,2026-07-29 18:32:00+00:00,IMBALANCE
M5,778,779,783,1,4104.885,4098.545,-6.3400000000001455,2026-07-29 18:55:00+00:00,ABSORPTION
M1,4201,4202,4206,1,4076.415,4092.03,15.614999999999782,2026-07-30 01:02:00+00:00,IMBALANCE
M1,4212,4213,4217,-1,4080.005,4074.605,5.400000000000091,2026-07-30 01:13:00+00:00,IMBALANCE
M1,4458,4459,4463,-1,4039.385,4044.07,-4.684999999999945,2026-07-30 05:19:00+00:00,IMBALANCE
M1,4470,4471,4475,1,4050.605,4043.675,-6.929999999999836,2026-07-30 05:31:00+00:00,IMBALANCE
M1,4476,4477,4481,-1,4040.685,4035.27,5.414999999999964,2026-07-30 05:37:00+00:00,IMBALANCE
M1,4561,4562,4566,1,4043.41,4044.855,1.4450000000001637,2026-07-30 07:02:00+00:00,IMBALANCE
M1,4863,4864,4868,-1,4069.08,4076.555,-7.475000000000364,2026-07-30 13:04:00+00:00,IMBALANCE
M5,972,973,977,-1,4068.22,4080.32,-12.099999999999454,2026-07-30 13:05:00+00:00,ABSORPTION
M1,4891,4892,4896,-1,4077.835,4084.315,-6.480000000000018,2026-07-30 13:32:00+00:00,IMBALANCE
M1,4897,4898,4902,1,4093.995,4093.475,-0.5199999999995271,2026-07-30 13:38:00+00:00,IMBALANCE
M1,4904,4905,4909,-1,4088.935,4095.02,-6.085000000000036,2026-07-30 13:45:00+00:00,IMBALANCE
M5,980,981,985,-1,4088.935,4099.26,-10.325000000000273,2026-07-30 13:45:00+00:00,ABSORPTION
M1,5136,5137,5141,1,4106.535,4106.075,-0.4600000000000364,2026-07-30 17:37:00+00:00,IMBALANCE
M1,5221,5222,5226,1,4115.225,4115.13,-0.0950000000002546,2026-07-30 20:02:00+00:00,IMBALANCE
M1,5250,5251,5255,-1,4110.01,4107.195,2.8150000000005093,2026-07-30 20:31:00+00:00,IMBALANCE
M1,5403,5404,5408,1,4105.174999999999,4102.795,-2.3799999999992,2026-07-31 00:04:00+00:00,IMBALANCE
M1,5423,5424,5428,1,4102.91,4096.525,-6.385000000000218,2026-07-31 00:24:00+00:00,IMBALANCE
M1,5431,5432,5436,-1,4095.31,4092.375,2.9350000000004,2026-07-31 00:32:00+00:00,IMBALANCE
M1,5462,5463,5467,1,4100.555,4098.06,-2.494999999999891,2026-07-31 01:03:00+00:00,IMBALANCE
M1,5474,5475,5479,-1,4089.07,4094.08,-5.009999999999764,2026-07-31 01:15:00+00:00,IMBALANCE
M1,5735,5736,5740,1,4081.31,4078.055,-3.2549999999996544,2026-07-31 05:36:00+00:00,IMBALANCE
M1,5776,5777,5781,1,4085.515,4085.095,-0.419999999999618,2026-07-31 06:17:00+00:00,IMBALANCE
M1,5824,5825,5829,1,4077.975,4078.44,0.4650000000001455,2026-07-31 07:05:00+00:00,IMBALANCE
M1,5935,5936,5940,1,4060.945,4063.0,2.0549999999998363,2026-07-31 08:56:00+00:00,IMBALANCE
M5,1187,1188,1192,-1,4061.1,4052.71,8.389999999999873,2026-07-31 09:00:00+00:00,ABSORPTION
M1,5944,5945,5949,-1,4060.655,4058.085,2.569999999999709,2026-07-31 09:05:00+00:00,IMBALANCE
M5,1203,1204,1208,1,4056.92,4052.2,-4.720000000000255,2026-07-31 11:20:00+00:00,ABSORPTION
M1,6091,6092,6096,-1,4048.585,4048.315,0.2700000000004365,2026-07-31 12:32:00+00:00,IMBALANCE
M5,1218,1219,1223,-1,4048.395,4040.97,7.424999999999727,2026-07-31 12:35:00+00:00,ABSORPTION
M1,6121,6122,6126,1,4040.415,4038.105,-2.309999999999945,2026-07-31 13:02:00+00:00,IMBALANCE
M5,1224,1225,1229,1,4039.775,4042.685,2.910000000000764,2026-07-31 13:05:00+00:00,ABSORPTION
M1,6150,6151,6155,-1,4039.935,4033.19,6.745000000000346,2026-07-31 13:31:00+00:00,IMBALANCE
M1,6159,6160,6164,-1,4027.715,4025.08,2.6350000000002183,2026-07-31 13:40:00+00:00,IMBALANCE
M5,1233,1234,1238,-1,4023.355,4032.17,-8.815000000000055,2026-07-31 13:50:00+00:00,ABSORPTION
M1,6189,6190,6194,1,4027.19,4032.17,4.980000000000018,2026-07-31 14:10:00+00:00,IMBALANCE
M5,1239,1240,1244,1,4033.32,4041.59,8.270000000000437,2026-07-31 14:20:00+00:00,ABSORPTION
M1,6470,6471,6475,-1,4053.055,4050.79,2.2650000000003274,2026-07-31 19:51:00+00:00,IMBALANCE
M1,6533,6534,6538,-1,4048.255,4045.36,2.894999999999982,2026-07-31 20:54:00+00:00,IMBALANCE
M1,6790,6791,6795,-1,4058.365,4056.55,1.8149999999996,2026-08-03 05:11:00+00:00,IMBALANCE
M1,6814,6815,6819,-1,4056.545,4057.4,-0.8550000000000182,2026-08-03 05:35:00+00:00,IMBALANCE
M1,6822,6823,6827,1,4063.06,4061.05,-2.0099999999997635,2026-08-03 05:43:00+00:00,IMBALANCE
M1,6838,6839,6843,1,4069.495,4068.815,-0.6799999999998363,2026-08-03 05:59:00+00:00,IMBALANCE
M1,6917,6918,6922,-1,4054.915,4055.305,-0.3899999999998726,2026-08-03 07:18:00+00:00,IMBALANCE
M1,7041,7042,7046,-1,4055.085,4053.51,1.574999999999818,2026-08-03 09:22:00+00:00,IMBALANCE
M1,7050,7051,7055,-1,4050.01,4049.645,0.3650000000002364,2026-08-03 09:31:00+00:00,IMBALANCE
M5,1438,1439,1443,1,4061.25,4051.17,-10.079999999999927,2026-08-03 11:55:00+00:00,ABSORPTION
M5,1444,1445,1449,1,4052.465,4044.095,-8.36999999999989,2026-08-03 12:25:00+00:00,ABSORPTION
M1,7240,7241,7245,-1,4043.935,4046.285,-2.3499999999994543,2026-08-03 12:41:00+00:00,IMBALANCE
M1,7261,7262,7266,-1,4045.71,4043.475,2.2350000000001278,2026-08-03 13:02:00+00:00,IMBALANCE
M5,1457,1458,1462,1,4034.355,4030.23,-4.124999999999545,2026-08-03 13:30:00+00:00,ABSORPTION
M1,7292,7293,7297,-1,4030.28,4025.805,4.474999999999454,2026-08-03 13:33:00+00:00,IMBALANCE
M5,1464,1465,1469,-1,4029.325,4032.595,-3.270000000000437,2026-08-03 14:05:00+00:00,ABSORPTION
M1,7620,7621,7625,1,4046.17,4048.03,1.8599999999996728,2026-08-03 19:01:00+00:00,IMBALANCE
M1,7800,7801,7805,1,4057.295,4059.845,2.550000000000182,2026-08-04 00:01:00+00:00,IMBALANCE
M1,7808,7809,7813,1,4063.47,4063.805,0.3350000000004911,2026-08-04 00:09:00+00:00,IMBALANCE
M1,7820,7821,7825,-1,4060.685,4058.86,1.824999999999818,2026-08-04 00:21:00+00:00,IMBALANCE
M1,7862,7863,7867,-1,4046.89,4043.92,2.9700000000002547,2026-08-04 01:03:00+00:00,IMBALANCE
M1,7895,7896,7900,1,4051.825,4054.445,2.619999999999891,2026-08-04 01:36:00+00:00,IMBALANCE
M1,8130,8131,8135,1,4067.105,4062.14,-4.9650000000001455,2026-08-04 05:31:00+00:00,IMBALANCE
M1,8221,8222,8226,1,4065.095,4064.73,-0.3650000000002364,2026-08-04 07:02:00+00:00,IMBALANCE
M1,8384,8385,8389,1,4052.815,4058.32,5.504999999999654,2026-08-04 10:45:00+00:00,IMBALANCE
M1,8432,8433,8437,1,4064.73,4062.36,-2.3700000000003456,2026-08-04 11:33:00+00:00,IMBALANCE
M5,1686,1687,1691,-1,4062.475,4075.095,-12.620000000000346,2026-08-04 11:35:00+00:00,ABSORPTION
M1,8443,8444,8448,1,4065.2,4077.09,11.890000000000327,2026-08-04 11:44:00+00:00,IMBALANCE
M1,8451,8452,8456,1,4081.635,4071.965,-9.670000000000073,2026-08-04 11:52:00+00:00,IMBALANCE
M1,8542,8543,8547,1,4080.25,4079.365,-0.8850000000002183,2026-08-04 13:23:00+00:00,IMBALANCE
M1,8550,8551,8555,1,4082.875,4087.005,4.130000000000109,2026-08-04 13:31:00+00:00,IMBALANCE
M1,8568,8569,8573,1,4092.535,4089.51,-3.024999999999636,2026-08-04 13:49:00+00:00,IMBALANCE
