datetime,open,high,low,close,volume
2026-02-25 00:00:00,5146.395,5155.835,5136.535,5151.855,0.9292
2026-02-25 01:00:00,5151.885,5189.635,5143.798,5176.505,1.95747
2026-02-25 02:00:00,5176.465,5193.518,5166.205,5180.325,1.42746
2026-02-25 03:00:00,5180.365,5189.805,5177.905,5181.648,1.06816
2026-02-25 04:00:00,5181.648,5184.825,5171.945,5182.365,0.60633
2026-02-25 05:00:00,5182.685,5210.335,5182.398,5201.275,1.42544
2026-02-25 06:00:00,5201.298,5201.298,5182.175,5194.425,1.29301
2026-02-25 07:00:00,5194.415,5194.865,5180.065,5184.455,0.68077
2026-02-25 08:00:00,5184.415,5197.025,5183.895,5185.055,0.85314
2026-02-25 09:00:00,5185.155,5194.375,5176.325,5193.095,1.02332
2026-02-25 10:00:00,5193.115,5195.025,5169.745,5174.785,0.9465
2026-02-25 11:00:00,5174.715,5182.305,5154.895,5181.315,1.03929
2026-02-25 12:00:00,5181.295,5187.175,5177.035,5182.525,1.06677
2026-02-25 13:00:00,5182.505,5191.275,5180.855,5184.935,1.59201
2026-02-25 14:00:00,5184.895,5193.065,5158.445,5190.935,2.58154
2026-02-25 15:00:00,5190.925,5202.355,5171.758,5194.645,2.79584
2026-02-25 16:00:00,5194.625,5213.615,5189.445,5212.005,1.80512
2026-02-25 17:00:00,5211.985,5217.385,5203.445,5206.585,1.68328
2026-02-25 18:00:00,5206.615,5207.375,5200.375,5201.805,0.68522
2026-02-25 19:00:00,5201.855,5207.948,5191.325,5204.745,1.70946
2026-02-25 20:00:00,5204.785,5206.098,5144.958,5151.765,2.27927
2026-02-25 21:00:00,5151.905,5173.235,5150.095,5164.915,1.23744
2026-02-25 23:00:00,5157.898,5181.278,5154.955,5162.905,1.06036
2026-02-26 00:00:00,5162.925,5191.965,5154.835,5187.995,1.25094
2026-02-26 01:00:00,5187.965,5198.285,5178.175,5191.235,2.29823
2026-02-26 02:00:00,5191.195,5195.515,5173.698,5184.095,1.45338
2026-02-26 03:00:00,5184.075,5193.565,5182.695,5192.455,1.41251
2026-02-26 04:00:00,5192.425,5199.165,5190.065,5192.265,1.00639
2026-02-26 05:00:00,5192.268,5205.215,5189.765,5198.105,1.49132
2026-02-26 06:00:00,5198.085,5199.385,5190.105,5192.935,1.14402
2026-02-26 07:00:00,5192.975,5194.595,5179.358,5185.745,0.89271
2026-02-26 08:00:00,5186.075,5190.605,5167.265,5179.145,1.56742
2026-02-26 09:00:00,5178.858,5189.335,5173.595,5186.215,0.90006
2026-02-26 10:00:00,5186.155,5189.905,5165.458,5171.245,0.98389
2026-02-26 11:00:00,5171.175,5178.145,5160.985,5164.405,0.75667
2026-02-26 12:00:00,5164.465,5187.585,5157.495,5183.475,1.20743
2026-02-26 13:00:00,5183.495,5185.395,5163.905,5165.765,1.92548
2026-02-26 14:00:00,5165.735,5175.695,5139.485,5164.425,3.19467
2026-02-26 15:00:00,5164.365,5192.535,5129.495,5185.388,4.53666
2026-02-26 16:00:00,5185.388,5186.905,5172.735,5179.395,2.35017
