datetime,open,high,low,close,volume
2026-02-25,5146.395,5217.385,5136.535,5162.905,31.7464
2026-02-26,5162.925,5205.215,5129.495,5184.345,37.7868
2026-02-27,5184.375,5280.878,5166.535,5277.419,44.78192
2026-03-01,5372.198,5392.995,5296.668,5386.545,3.17058
2026-03-02,5386.675,5418.875,5260.095,5345.695,53.04669
2026-03-03,5345.755,5379.755,4995.475,5125.035,67.28969
2026-03-04,5125.015,5205.995,5105.348,5165.025,54.02221
2026-03-05,5164.995,5194.615,5050.638,5085.885,46.54664
2026-03-06,5085.835,5175.048,5062.125,5171.798,40.91005
2026-03-08,5178.935,5196.698,5043.468,5075.675,6.0477
2026-03-09,5075.295,5155.825,5014.655,5139.475,50.17022
2026-03-10,5139.305,5238.365,5124.465,5197.175,38.63221
2026-03-11,5197.175,5223.015,5129.175,5134.205,39.94004
2026-03-12,5134.225,5191.388,5054.795,5097.775,36.74626
2026-03-13,5097.725,5128.225,5009.495,5018.098,35.20716
2026-03-15,5003.001,5029.945,4967.125,4997.255,4.3996
2026-03-16,4997.275,5037.715,4970.115,5012.645,40.02467
2026-03-17,5012.575,5044.355,4973.495,5002.695,31.50515
2026-03-18,5002.705,5016.065,4803.845,4836.505,64.7124
2026-03-19,4836.495,4866.995,4502.108,4643.325,65.53923
2026-03-20,4643.205,4735.835,4477.125,4490.055,58.6552
2026-03-22,4470.705,4535.815,4448.835,4464.415,4.79612
2026-03-23,4464.435,4512.665,4098.275,4440.915,90.9285
2026-03-24,4440.895,4551.118,4305.565,4546.375,98.78051
2026-03-25,4546.335,4602.125,4486.508,4497.875,55.48146
2026-03-26,4497.845,4544.275,4350.995,4404.665,61.4889
2026-03-27,4404.775,4554.965,4375.235,4492.375,44.39073
2026-03-29,4491.518,4514.675,4443.485,4448.495,4.3254
2026-03-30,4448.675,4580.465,4417.665,4513.325,45.64218
2026-03-31,4513.375,4699.825,4482.115,4696.065,51.03893
2026-04-01,4695.965,4800.185,4666.605,4783.698,44.96072
2026-04-02,4783.655,4798.525,4553.158,4675.805,57.32121
2026-04-05,4651.645,4664.715,4604.378,4610.078,4.8128
2026-04-06,4610.078,4706.255,4600.385,4658.555,40.41945
2026-04-07,4659.155,4836.105,4607.335,4832.958,65.32183
2026-04-08,4832.958,4856.998,4699.235,4715.215,47.79605
2026-04-09,4715.375,4801.015,4698.085,4763.435,37.29869
2026-04-10,4763.485,4794.765,4730.205,4746.935,34.13602
2026-04-12,4634.998,4690.685,4634.998,4671.155,8.30273
2026-04-13,4671.175,4765.668,4664.325,4757.365,35.26908
2026-04-14,4757.405,4850.445,4751.285,4836.935,36.62044
2026-04-15,4836.965,4871.165,4785.885,4823.205,32.83761
2026-04-16,4822.995,4838.335,4772.898,4791.505,32.05597
2026-04-17,4791.475,4889.335,4768.0,4829.115,34.73368
2026-04-19,4767.405,4794.635,4736.635,4754.945,4.1872
2026-04-20,4754.995,4832.845,4744.295,4821.485,34.82911
2026-04-21,4821.795,4830.565,4668.275,4737.795,47.08912
2026-04-22,4737.765,4772.165,4723.008,4727.525,34.8159
2026-04-23,4727.505,4753.585,4664.045,4695.025,54.63431
2026-04-24,4695.025,4739.995,4657.485,4707.865,48.10827
2026-04-26,4697.248,4703.995,4674.655,4679.825,2.5662
2026-04-27,4679.715,4729.875,4667.055,4691.705,38.17193
2026-04-28,4691.855,4701.015,4554.675,4595.365,51.72325
2026-04-29,4595.385,4610.195,4509.875,4561.345,54.75022
2026-04-30,4561.325,4646.705,4540.545,4626.395,55.23936
2026-05-01,4626.305,4660.065,4560.045,4613.558,37.40874
2026-05-03,4632.938,4637.355,4611.105,4613.605,1.94263
2026-05-04,4613.578,4618.365,4500.665,4518.815,48.48713
2026-05-05,4518.825,4595.425,4513.265,4593.775,38.90077
2026-05-06,4593.735,4722.825,4588.015,4698.745,50.75175
2026-05-07,4698.695,4764.595,4675.648,4704.145,60.77652
2026-05-08,4704.085,4749.245,4693.835,4712.655,45.03994
2026-05-10,4681.255,4700.195,4678.165,4691.465,2.60854
2026-05-11,4691.395,4769.405,4647.825,4767.215,46.11453
2026-05-12,4767.215,4773.335,4638.225,4716.695,54.12738
2026-05-13,4716.905,4726.618,4669.415,4696.415,45.82721
2026-05-14,4696.395,4718.568,4643.965,4651.975,56.07846
2026-05-15,4651.935,4658.125,4511.215,4538.898,65.33423
2026-05-17,4531.698,4554.575,4526.498,4536.795,3.20559
2026-05-18,4536.825,4588.825,4480.065,4581.615,64.14634
2026-05-19,4582.005,4589.295,4464.615,4489.055,53.00018
2026-05-20,4489.075,4552.585,4453.145,4546.198,56.74642
2026-05-21,4546.198,4570.725,4488.335,4535.205,59.58112
2026-05-22,4535.305,4540.925,4491.605,4508.395,46.32697
2026-05-24,4535.098,4579.995,4532.885,4566.735,4.87222
2026-05-25,4566.765,4580.225,4550.315,4559.425,22.56199
2026-05-26,4559.555,4559.895,4548.875,4550.385,0.26398
