datetime,open,high,low,close,volume
2026-02-25 00:00:00,5146.395,5149.405,5139.485,5139.985,0.05823
2026-02-25 00:05:00,5139.945,5143.263,5136.535,5142.975,0.07329
2026-02-25 00:10:00,5142.945,5142.945,5138.475,5140.135,0.05418
2026-02-25 00:15:00,5139.965,5144.655,5138.635,5142.745,0.06138
2026-02-25 00:20:00,5142.785,5145.925,5142.415,5142.575,0.04503
2026-02-25 00:25:00,5142.595,5142.595,5137.595,5140.115,0.06309
2026-02-25 00:30:00,5140.175,5151.005,5140.175,5147.305,0.10225
2026-02-25 00:35:00,5147.335,5154.325,5144.945,5152.055,0.12009
2026-02-25 00:40:00,5152.025,5155.185,5146.085,5146.865,0.08922
2026-02-25 00:45:00,5146.825,5147.115,5141.535,5144.245,0.11814
2026-02-25 00:50:00,5144.265,5147.395,5142.425,5147.155,0.05127
2026-02-25 00:55:00,5147.015,5155.835,5146.175,5151.855,0.09303
2026-02-25 01:00:00,5151.885,5161.665,5143.798,5158.925,0.25752
2026-02-25 01:05:00,5158.925,5171.725,5158.105,5168.535,0.20123
2026-02-25 01:10:00,5168.595,5176.255,5163.695,5173.955,0.22235
2026-02-25 01:15:00,5173.945,5184.675,5173.495,5184.025,0.24559
2026-02-25 01:20:00,5183.975,5186.395,5177.835,5178.375,0.17944
2026-02-25 01:25:00,5178.405,5188.215,5178.355,5185.055,0.15711
2026-02-25 01:30:00,5184.865,5186.575,5181.295,5185.215,0.12462
2026-02-25 01:35:00,5185.235,5189.635,5178.775,5182.165,0.14367
2026-02-25 01:40:00,5182.125,5185.935,5178.255,5180.165,0.10025
2026-02-25 01:45:00,5180.145,5186.085,5180.035,5183.595,0.08335
2026-02-25 01:50:00,5183.645,5184.515,5180.025,5182.995,0.10038
2026-02-25 01:55:00,5182.935,5183.585,5174.265,5176.505,0.14196
2026-02-25 02:00:00,5176.465,5183.965,5176.115,5182.975,0.17384
2026-02-25 02:05:00,5183.075,5186.195,5181.748,5186.115,0.08723
2026-02-25 02:10:00,5186.065,5189.015,5182.585,5188.345,0.11781
2026-02-25 02:15:00,5188.285,5193.518,5188.195,5190.175,0.13602
